¬ Text file converted with loc_parser							
{your_citizens_killed}					Cittadini uccisi:		
{faction_defeated_body_carthaginian}			La nostra potenza ha contribuito alla sconfitta di queste genti! La loro antica grandezza è ora ridotta in a un cumulo di macerie, e noi trarremo profitto dalla loro estinzione.	
{faction_defeated_body_greek}				Il coraggio ellenico in battaglia ha contribuito alla sconfitta di queste genti: avversari che ora non ci disturberanno mai più.
{faction_defeated_body_egyptian}				Queste genti non turberanno più le meditazioni del Faraone: essi ora sono come sabbia e polvere, in balia dei venti del deserto.
{faction_defeated_body_eastern}				Queste genti non verranno più considerate nel calcolo degli equilibri di potere. Saranno commemorate solo sulle loro tombe!
{mission_spy_character_body_roman}				La nostra spia ha portato a compimento la missione contro quest'uomo e ne ha scoperto i segreti.
{mission_spy_character_body_barbarian}			La nostra spia è riuscita a osservare quest'uomo e ne ha scoperto molti indegni segreti.	
{mission_spy_character_body_carthaginian}			Il denaro per questa spia si è dimostrato un saggio investimento. La missione contro quest'uomo si è dimostrata un successo e ora i suoi segreti sono nostri.	
{mission_spy_character_body_greek}				Questa spia ha svolto ottimamente la propria missione e a svelato molte cose che ignoravamo.
{mission_spy_character_body_egyptian}			Questa spia si è comportata bene e ha svelato i segreti che il suo bersaglio avrebbe celato addirittura ad Anubi e Thoth!	
{mission_spy_character_body_eastern}			L'oro speso per addestrare questa spia si è rivelato un valido investimento, e la sua missione è stata un grande successo.	
{mission_spy_settlement_body_roman}			La nostra spia è riuscita a infiltrarsi in questo insediamento e ora attende ulteriori istruzioni.	
{mission_spy_settlement_body_barbarian}			Il nostro uomo è riuscito a farsi amica la gente, anche se nel profondo del suo cuore è ancora leale alla sua stirpe e al suo popolo.	
{mission_spy_settlement_body_carthaginian}			La nostra spia è riuscita a farsi strada tra gli affetti del popolo di questo insediamento e ora possiamo approfittare delle sue abilità.	
{mission_spy_settlement_body_greek}			La nostra spia è riuscita a simulare la vita di uno degli sporchi, selvaggi e incolti barbari di questo insediamento e ora può sembrare uno di essi.	
{mission_spy_settlement_body_egyptian}			Il Faraone ha ora occhi e orecchie in questo insediamento, grazie al suo leale servitore nascosto.	
{mission_spy_settlement_body_eastern}			La nostra spia è riuscita a crearsi una casa tra la gente e ora attende ordini, in agguato come una vipera nella tana.	
{mission_assassinate_body_roman}				Quest'uomo è stato eliminato, un altro rivale mandato a ingrossare i ranghi dei morti senza pace.
{mission_assassinate_body_barbarian}			Quest'uomo è stato ucciso. Forse una pugnalata nel buio non è cosa da veri guerrieri, ma di sicuro uccide efficacemente quanto un onesto colpo di spada.	
{mission_assassinate_body_carthaginian}			Quest'uomo è stato assassinato. Il denaro nelle mani di un sicario è un'arma efficace quanto la spada nelle mani di un soldato!	
{mission_assassinate_body_greek}				Quest'uomo è stato eliminato: un altro rivale inviato come passeggero per il traghetto di Caronte!
{mission_assassinate_body_egyptian}				Quest'uomo è stato inviato nell'aldilà. Ora il suo cuore verrà pesato sulla bilancia della verità da Anubi!
{mission_assassinate_body_eastern}				La viottima è stata inviata a unirsi ai suoi antenati e ora starà soffrendo l'onta di essere stata eliminata in modo così facile.
{mission_sabotage_body_roman}				Il nostro coraggioso agente è riuscito nella missione di sabotaggio e ha ridotto le capacità nemiche di ledere alla nostra causa.
{mission_sabotage_body_barbarian}				Il nostro uomo è riuscito a danneggiare le azioni dei nostri rivali in questo luogo.
{mission_sabotage_body_carthaginian}			La nostra spia è costata ai nostri rivali molto tempo e denaro, poiché il suo sabotaggio ha avuto pienamente successo.	
{mission_sabotage_body_greek}				La nostra spia è intervenuta con successo nelle azioni dei nostri nemici e i loro sforzi sono ormai vani!
{mission_sabotage_body_egyptian}				La spia ha eseguito nobilmente quanto desiderato dal Faraone e ora si nasconde nello stesso seno del nostro nemico, come una serpe pronta a colpire.
{mission_sabotage_body_eastern}				La nostra spia ha eseguito la propria missione con successo e ora i nostri nemici cercano invano un capro espiatorio.
{hidden_agent_detected_in_settlement_body_roman}		Un agente nemico è stato scoperto in questo insediamento. Che le virtù romane di lealtà siano state messe così da parte dal nostro popolo è estremamente triste.		
{hidden_agent_detected_in_settlement_body_barbarian}		Tra la nostra gente si nasconde un infido agente nemico. Che uno di loro sia stato accolto in questo modo è molto triste.		
{hidden_agent_detected_in_settlement_body_carthaginian}	È triste quando un uomo antepone il profitto personale alla lealtà per i vicini e gli amici. Una spia è stata scoperta in questo insediamento.			
{hidden_agent_detected_in_settlement_body_greek}		In questa città è stato scoperto un agente di un altro popolo. Di sicuro la sua mancanza di intelligenza e cultura l'hanno tradito.			
{hidden_agent_detected_in_settlement_body_egyptian}		Un agente straniero è stato scoperto in mezzo ai leali figli del Faraone. La loro vigilanza deve essere stata davvero negligente!			
{hidden_agent_detected_in_settlement_body_eastern}		Un vile straniero è riuscito a farsi strada tra gli affetti del nostro popolo. Devono essere stati soggiogati dal vino se si sono fatti raggirare in questo modo!			
{reinforcements_arrived_body_roman}				I rinforzi sono giunti: un nuovo baluardo per la potenza e il coraggio di Roma!	
{reinforcements_arrived_body_barbarian}			Nuovi guerrieri sono arrivati e smaniano per entrare in battaglia!		
{reinforcements_arrived_body_carthaginian}			Nuove truppe sono pronte per entrare in azione in difesa del nostro popolo!		
{reinforcements_arrived_body_greek}				Nuovi soldati sono stati reclutati ed addestrati e ora sono pronti per mettersi alla prova in battaglia!	
{reinforcements_arrived_body_egyptian}			Nuovi guerrieri sono giunti, pronti a sacrificare le proprie vite mortali per la gloria del Faraone!		
{reinforcements_arrived_body_eastern}			I rinforzi sono arrivati e smaniano per strappare le vite nemiche e bagnare le proprie spade nel loro sangue!		
{war_declared_body_roman}				È stata dichiarata guerra a questi popoli. Ora sono nemici dei Romani!	
{war_declared_body_barbarian}				Questi popoli sono ora nostri nemici dichiarati! Adesso i nostri guerrieri possono apertamente attaccarli e mettere da parte le maschere della pace ingannevole!	
{war_declared_body_carthaginian}				La guerra è un affare serio e poco proficuo ma a volte l'equilibrio tra guadagni e perdite comporta che essa debba essere dichiarata e vinta!	
{war_declared_body_greek}					La guerra è una nobile impresa che può essere svolta da uomini coraggiosi. Cominciarla con un'onesta e civile dichiarazione è l'atteggiamento migliore.
{war_declared_body_egyptian}				Le minacce all'onore e alla gloria del Faraone ci hanno costretti a inviare una dichiarazione di guerra a queste genti!	
{war_declared_body_eastern}				La spada è stata sguainata dal fodero e lo scudo è stato tolto dal muro. La guerra è stata dichiarata!	
{year_end_report_body_roman}				Ecco un riassunto della attività dell'anno precedente, da parte dei nostri leali generali e governatori:	
{year_end_report_body_barbarian}				Quest'anno il nostro popolo ha svolto le seguenti azioni:
{year_end_report_body_carthaginian}				Ecco il bilancio aggiornato delle imprese svolte dai nostri generali e governatori:
{year_end_report_body_greek}				Ecco le imprese aggiornate compiute dalla nostra civiltà:
{year_end_report_body_egyptian}				I servi del Faraone, nel suo nome, hanno compiuto quanto segue:
{year_end_report_body_eastern}				Quest'anno i tuoi servi hanno compiuto quanto segue:
{chat_message_body_roman}				È giunta una missiva ufficiale dal tuo rivale.
{chat_message_body_barbarian}				È giunto un messaggio da un altro comandante.
{chat_message_body_carthaginian}				Un messaggio ufficiale è giunto da un altro capo.
{chat_message_body_greek}				Un piagnucolante messaggio in qualche barbarico idioma è appena giunto da parte di un rivale. Al momento lo stiamo traducendo nella nostra nobile lingua.
{chat_message_body_egyptian}				Un'umile petizione per il Faraone è arrivata da parte di questi disgustosi stranieri.
{chat_message_body_eastern}				È giunto un messo da terre lontane è reca con sé un messaggio!
{disaster_earthquake_body_roman}				Un terremoto si è scatenato con terribili effetti. Cosa può aver adirato tanto gli dei da far gemere e scuotere la terra in tal modo?
{disaster_earthquake_body_barbarian}			Gli dei sono adirati e la terra trema con grande violenza! Nessun uomo può ergersi contro una tale ira!	
{disaster_earthquake_body_carthaginian}			I martelli da fabbro di Kothar e Khasis devono essere molto impegnati: tutta la terra trema con grande violenza!	
{disaster_earthquake_body_greek}				La terra stessa trema come quando gli stessi dei gettarono i titani negli abissi!
{disaster_earthquake_body_egyptian}				La terra stessa trema, con gravi danni, non ci resta che attendere che le parole del Faraone la plachino.
{disaster_earthquake_body_eastern}				Adirati dagli uomini, gli dei fanno tremare la terra!
{disaster_volcano_body_roman}				Il vulcano ha eruttato causando danni terribili! Il dio Vulcano è chiaramente dispiaciuto per qualcosa o con qualcuno!
{disaster_volcano_body_barbarian}				La terra stessa sputa fuoco: gli dei devono avere un buon motivo per punire tutti gli uomini con un tale evento!
{disaster_volcano_body_carthaginian}			Il vulcano sta sputando fuoco. Questo è una punizione che solo gli dei avrebbero potuto infliggere!	
{disaster_volcano_body_greek}				Gli dei puniscono i mortali perché questi hanno costruito i loro palazzi così vicini ai cancelli dell'Ade!
{disaster_volcano_body_egyptian}				Gli dei sono davvero adirati se fanno eruttare fuoco dalla terra, ma le parole del Faraone placherà la loro ira.
{disaster_volcano_body_eastern}				Un vulcano sta eruttando e liberando terribili fumi, avvelenando uomini e bestie!
{disaster_flood_body_roman}				Quale offesa è stata fatta agli dei da far loro mandare un'alluvione tanto dannosa?
{disaster_flood_body_barbarian}				Gli dei del mare, dei fiumi e del cielo devono essere molto adirati con il nostro popolo se hanno inviato alluvioni così terribili. Forse dobbiamo far loro nuovi sacrifici?
{disaster_flood_body_carthaginian}				Le inondazioni hanno coperto gran parte delle terre e annegato cittadini e beni. Per aver mandato una tale calamità gli dei devono essere davvero offesi!
{disaster_flood_body_greek}				Le acque si sono sollevate e nessun mortale può placare la marea montante del dispiacere divino!
{disaster_flood_body_egyptian}				Le acque si sono sollevate, ma ora i desideri del Faraone le calmeranno e porteranno sollievo ai suoi servi.
{disaster_flood_body_eastern}				C'è stata una terribile inondazione: ha spazzato via in pochi giorni ciò che ha richiesto ai nostri uomini molti anni di lavoro.
{disaster_storm_body_roman}				C'è stata una terribile tempesta. Gli dei devono essere molto adirati per una mancanza negli usi romani e nella stessa Roma.
{disaster_storm_body_barbarian}				Gli dei del vento e della tempesta ululano: nessuno ha mai tributato loro il giusto rispetto se hanno inviato una tempesta di tale entità contro il nostro popolo!
{disaster_storm_body_carthaginian}				Tempeste di tali entità sono un messaggio degli dei e un segno del fatto che l'uomo non è il padrone di questo mondo.
