¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Римские
{SMT_OPEN_DIPLOMACY_WINDOW}					Открыть окно дипломатии
{SMT_FACTION_BUTTON_TOOLTIP}					Открыть окно сводки по фракции\nИспользуйте правую кнопку мыши для размещения столицы фракции
{SMT_SELECTED_ITEM_TOOLTIP}					Текущие выделенные объекты\nЩелкните один раз, чтобы перейти к объекту
{SMT_BUILD_QUEUE_CONFLICT}					Это здание уже находится в очереди на строительство в данном поселении
{SMT_BUILD_QUEUE_FULL}						Невозможно добавить этот объект, поскольку очередь на строительство заполнена
{SMT_BUILD_QUEUE_INSUFFICIENT_FUNDS}				Невозможно добавить это здание, так как у вас недостаточно средств
{SMT_TRAINING_INSUFFICIENT_POPULACE}				Нельзя добавить этот объект, поскольку в поселении недостаточно людей для найма
{SMT_TRAINING_INSUFFICIENT_FUNDS}				Невозможно добавить этот объект к очереди на обучение, поскольку у вас недостаточно средств
{SMT_TRAINING_QUEUE_FULL}					Невозможно добавить этот объект, поскольку очередь на обучение заполнена
{SMT_DIPLOMACY_SUMMARY}					Дипломатическая сводка
{SMT_WE_HAVE_MILITARY_ACCESS}					У нас есть право прохода армии
{SMT_THEY_HAVE_MILITARY_ACCESS}				У них есть право прохода армии
{SMT_PAYING_YOU_TRIBUTE_X_PER_TURN}				Вам выплачивается %d динариев дани за ход
{SMT_PAYING_THEM_TRIBUTE_X_PER_TURN}				Им выплачивается %d динариев дани за ход
{SMT_ASSISTANCE_REQUESTED_AGAINST}				Запрос на помощь в борьбе с
{SMT_ASSISTANCE_PROVIDED_AGAINST}				Предоставлена помощь для борьбы с
{SMT_CONFIRM_OFFER}						Утвердить подробности предложения
{SMT_CANCEL_OFFER}						Отменить подробности предложения
{SMT_OFFER_MONEY_TITLE}					Предложить деньги
{SMT_DEMAND_MONEY_TITLE}					Потребовать деньги
{SMT_AMOUNT_OF_DENARI}					Сумма
{SMT_OFFER_TRIBUTE_TITLE}					Предложить дань
{SMT_DEMAND_TRIBUTE}						Потребовать дань
{SMT_NUMBER_OF_YEARS}						Кол-во ходов
{SMT_OR_UNTIL_FURTHER_NOTICE}					Или до извещения
{SMT_UNTIL_FURTHER_NOTICE}					До извещения
{SMT_DEMAND_ATTACK_ON_FACTION}				Потребовать атаки на фракцию
{SMT_OFFER_ATTACK_ON_FACTION}					Предложить атаку на фракцию
{SMT_WITHIN}							В течение 
{SMT_YEARS}							Ходы
{SMT_GIVE}							Дать
{SMT_DEMAND_SETTLEMENT_TITLE}					Потребовать поселения
{SMT_OFFER_SETTLEMENT_TITLE}					Предложить поселения
{SMT_CITY}							Город
{SMT_CHARACTERS}						Персонажи
{SMT_STATUS}							Состояние
{SMT_CHARACTER_PERFORMED_TURNS_ACTION}			Выделенный персонаж имеет задание на этот ход
{SMT_TARGET_TILE_IS_IMPASSABLE}					Цель неверна для данного типа персонажа
{SMT_CANNOT_LEAVE_SIEGED_FORT}				Никто не может покинуть форт во время осады, кроме как для того, чтобы атаковать осаждающих
{SMT_CANNOT_LEAVE_SIEGED_SETTLEMENT}				Никто не может покинуть поселение во время осады, кроме как для того, чтобы атаковать осаждающих
{SMT_CANNOT_LEAVE_ENEMIES_ZOC}				Невозможно покинуть зону контроля врага
{SMT_CHARACTER_DETAILS}					Сведения о персонаже
{SMT_ENEMY_CHARACTER_DETAILS}					Сведения о вражеском персонаже
{SMT_NEUTRAL_CHARACTER_DETAILS}				Сведения о нейтральном персонаже
{SMT_ALLIED_CHARACTER_DETAILS}					Сведения о союзном персонаже
{SMT_VICES}							Пороки
{SMT_FACTION_SUMMARY}						Сводка по фракции
{SMT_FACTION_LEADER}						Лидер фракции:
{SMT_HEIRS}							Наследники:
{SMT_REGIONS_GAINED}						Регионов освоено:
{SMT_BATTLES_WON}						Сражений выиграно:
{SMT_BATTLES_LOST}						Сражений проиграно:
{SMT_SHOW_FAMILY_TREE}					Показать генеалогическое древо
{SMT_SHOW_EVENT_LOG}						Показать журнал событий
{SMT_FINANCIAL_SUMMARY}					Сводка по финансам
{SMT_INCOME}							Доход
{SMT_EXPENDITURE}						Расходы
{SMT_FARMING}							Сельское хозяйство
{SMT_RESOURCES}						Ресурсы
{SMT_TRADE}							Торговля
{SMT_TAXES}							Налоги
{SMT_WAGES}							Заработная плата
{SMT_PROJECTED_INCOME}						Прогнозируемый общий доход
{SMT_PROJECTED_EXPENDITURE}					Прогнозируемые общие расходы
{SMT_PROJECTED_PROFIT}						Прогнозируемая прибыль
{SMT_TOTAL_INCOME}						Общий доход
{SMT_TOTAL_EXPENDITURE}					Общие расходы
{SMT_TOTAL_PROFIT}						Прибыль
{SMT_ARMY_RECRUIT}						Найм
{SMT_CONSTRUCTION}						Строительство
{SMT_DIPLOMACY}						Дипломатия
{SMT_TRIBUTE}							Дань
{SMT_OTHER}							Другое
{SMT_SENATE_TRANSACTIONS}					Протоколы Сената
{SMT_EVENT_LOG}						Журнал событий
{SMT_OFFICE}							Магистрат
{SMT_CHARACTER}						Персонаж
{SMT_SENATE_OFFICIALS}						Чиновники Сената
{SMT_SENATE_MISSIONS}						Задания Сената
{SMT_SHOW_SENATE_OFFICES}					Показать список магистратов Сената
{SMT_TIME_REMAINING}						Времени осталось
{SMT_TARGETS}							Цели
{SMT_TARGET}							Цель
{SMT_REWARD}							Вознаграждение
{SMT_PENALTY}							Взыскание
{SMT_SETTLEMENT}						Поселение
{SMT_TRADE_DETAILS}						Сведения о торговле
{SMT_SHOW_TRADE_SUMMARY}					Показать свиток торговых сводок для этого поселения
{SMT_RESOURCE_GOLD}						Золото
{SMT_RESOURCE_SILVER}						Серебро
{SMT_RESOURCE_IRON}						Железо
{SMT_RESOURCE_POTTERY}						Гончарные изделия
{SMT_RESOURCE_FURS}						Меха
{SMT_RESOURCE_GRAIN}						Зерно
{SMT_RESOURCE_TIMBER}						Лес
{SMT_RESOURCE_ELEPHANT}					Слоны
{SMT_RESOURCE_CAMEL}						Верблюды
{SMT_RESOURCE_DOG}						Собаки
{SMT_RESOURCE_PIG}						Свиньи
{SMT_RESOURCE_OLIVE_OIL}					Оливковое масло
{SMT_RESOURCE_WINE}						Вино
{SMT_RESOURCE_SLAVES}						Рабы
{SMT_RESOURCE_GLASS}						Стекло
{SMT_RESOURCE_MARBLE}						Мрамор
{SMT_RESOURCE_TEXTILES}					Ткани
{SMT_RESOURCE_PURPLE_DYE}					Пурпурная краска
{SMT_RESOURCE_INCENSE}						Фимиам
{SMT_RESOURCE_SILK}						Шелк
{SMT_RESOURCE_WILD_ANIMALS}					Дикие животные
{SMT_RESOURCE_HIDES}						Шкуры
{SMT_RESOURCE_TIN}						Олово
{SMT_RESOURCE_COPPER}						Медь
{SMT_RESOURCE_LEAD}						Свинец
{SMT_RESOURCE_AMBER}						Янтарь
{SMT_HARVEST_POOR}						Плохой урожай
{SMT_HARVEST_NORMAL}						Средний урожай
{SMT_HARVEST_GOOD}						Хороший урожай
{SMT_HARVEST_EXCELLENT}					Отличный урожай
{SMT_MINING_INCOME}						Доходы от рудников
{SMT_FARM_INCOME}						Доходы от сельского хозяйства
{SMT_FIND_SELECTED_CHARACTER}					Определить место выделенного персонажа на карте
{SMT_FAMILY_TREE_TITLE}						Генеалогическое древо
{SMT_OWNED_BY}							Принадлежит:
{SMT_WEAPON_ARMOUR_PIERCING}					Использует оружие, пробивающее доспехи
{SMT_WEAPON_BODY_PIERCING}					Использует оружие, пронзающее тело
{SMT_WEAPON_PRECURSOR}					Использует метательное оружие
{SMT_WEAPON_AREA}						У оружия большая зона поражения
{SMT_UNIT_IS_GENERAL}						Соединение способно выполнять командные функции
{SMT_UNIT_IS_COMMAND}						Соединение командования
{SMT_UNIT_CAN_CONCEAL}						Может прятаться
{SMT_UNIT_IS_HARDY}						Стойкое
{SMT_UNIT_IS_VERY_HARDY}					Очень стойкое
{SMT_UNIT_IS_HEAVY}						Это тяжелое соединение
{SMT_CAN_DO_TESTUDO}						Может строиться черепахой
{SMT_CAN_DO_PHALANX}						Может формировать фалангу
{SMT_GOOD_ON_SCRUB}						Хорошо использовать в низком кустарнике
{SMT_GOOD_ON_SAND}						Хорошо использовать в пустыне
{SMT_GOOD_ON_FOREST}						Хорошо использовать в лесу
{SMT_GOOD_ON_SNOW}						Хорошо использовать на покрытой снегом территории
{SMT_BAD_ON_SCRUB}						Плохо действует в кустарнике
